Depth,K
m,%
619.02,-999.25
619.12,1.68484
619.22,1.70755
619.32,1.63331
619.42,1.48837
619.52,1.337
619.62,1.24284
619.72,1.22368
619.82,1.26685
619.92,1.34366
620.02,1.40812
620.12,1.42836
620.22,1.40667
620.32,1.35924
620.42,1.30321
620.52,1.26097
620.62,1.24821
620.72,1.25754
620.82,1.2657
620.92,1.25745
621.02,1.22699
621.12,1.18378
621.22,1.1434
621.32,1.12217
621.42,1.13263
621.52,1.18704
621.62,1.27332
621.72,1.36262
621.82,1.43247
621.92,1.46587
622.02,1.45712
622.12,1.42433
622.22,1.39677
622.32,1.39451
622.42,1.42566
622.52,1.48424
622.62,1.54876
622.72,1.59627
622.82,1.62064
622.92,1.62552
623.02,1.61567
623.12,1.59597
623.22,1.57403
623.32,1.55523
623.42,1.54359
623.52,1.53364
623.62,1.51955
623.72,1.50612
623.82,1.49867
623.92,1.49732
624.02,1.4986
624.12,1.50473
624.22,1.52758
624.32,1.56223
624.42,1.58512
624.52,1.57638
624.62,1.52371
624.72,1.42879
624.82,1.32014
624.92,1.23965
625.02,1.22015
625.12,1.27265
625.22,1.38123
625.32,1.49042
625.42,1.54634
625.52,1.53348
625.62,1.47716
625.72,1.41913
625.82,1.40427
625.92,1.45499
626.02,1.56027
626.12,1.68805
626.22,1.80087
626.32,1.87418
626.42,1.90224
626.52,1.88571
626.62,1.83967
626.72,1.78629
626.82,1.75375
626.92,1.76018
627.02,1.80674
627.12,1.87078
627.22,1.91153
627.32,1.90104
627.42,1.83496
627.52,1.74101
627.62,1.66704
627.72,1.63738
627.82,1.64866
627.92,1.68757
628.02,1.74606
628.12,1.81049
628.22,1.85988
628.32,1.88146
628.42,1.87321
628.52,1.83969
628.62,1.78994
628.72,1.72755
628.82,1.65548
628.92,1.58073
629.02,1.50429
629.12,1.42921
629.22,1.37113
629.32,1.34831
629.42,1.35967
629.52,1.38271
629.62,1.39648
629.72,1.40644
629.82,1.43263
629.92,1.48226
630.02,1.54256
630.12,1.60134
630.22,1.6522
630.32,1.69161
630.42,1.72313
630.52,1.75928
630.62,1.81161
630.72,1.87624
630.82,1.93317
630.92,1.95789
631.02,1.95008
631.12,1.92529
631.22,1.89631
631.32,1.87807
631.42,1.88274
631.52,1.90845
631.62,1.93796
631.72,1.93885
631.82,1.88358
631.92,1.76824
632.02,1.61014
632.12,1.42686
632.22,1.2461
632.32,1.11136
632.42,1.04484
632.52,1.04411
632.62,1.09465
632.72,1.17962
632.82,1.27464
632.92,1.35394
633.02,1.39961
633.12,1.41025
633.22,1.40715
633.32,1.41953
633.42,1.45895
633.52,1.52695
633.62,1.60939
633.72,1.67559
633.82,1.70482
633.92,1.70841
634.02,1.72183
