Depth,Th
m,ppm
619.02,-999.25
619.12,8.96313
619.22,9.11561
619.32,9.31086
619.42,9.42384
619.52,9.37162
619.62,9.10665
619.72,8.64558
619.82,8.23378
619.92,8.26432
620.02,8.90094
620.12,10.0537
620.22,11.3784
620.32,12.4505
620.42,13.0639
620.52,13.4211
620.62,13.8519
620.72,14.5013
620.82,15.0614
620.92,14.9714
621.02,13.7909
621.12,11.6246
621.22,9.02816
621.32,6.72754
621.42,5.32911
621.52,5.20526
621.62,6.15175
621.72,7.56222
621.82,8.78492
621.92,9.37752
622.02,9.27443
622.12,8.66574
622.22,7.88373
622.32,7.25994
622.42,7.08272
622.52,7.40728
622.62,7.93009
622.72,8.40752
622.82,8.83573
622.92,9.27101
623.02,9.96003
623.12,11.0862
623.22,12.5322
623.32,13.9647
623.42,15.075
623.52,15.6461
623.62,15.692
623.72,15.432
623.82,15.0819
623.92,14.7481
624.02,14.4705
624.12,14.2201
624.22,13.9029
624.32,13.5054
624.42,13.0055
624.52,12.3513
624.62,11.6773
624.72,11.1509
624.82,10.8851
624.92,10.8089
625.02,10.7451
625.12,10.6256
625.22,10.3928
625.32,10.0029
625.42,9.50887
625.52,8.96435
625.62,8.51859
625.72,8.28037
625.82,8.28356
625.92,8.53999
626.02,9.02994
626.12,9.58296
626.22,9.91948
626.32,9.96835
626.42,9.84521
626.52,9.70609
626.62,9.77262
626.72,10.1698
626.82,10.9099
626.92,11.9208
627.02,12.9336
627.12,13.5431
627.22,13.4194
627.32,12.5891
627.42,11.3848
627.52,10.4355
627.62,10.296
627.72,11.0869
627.82,12.4772
627.92,13.8885
628.02,14.8081
628.12,15.0374
628.22,14.6497
628.32,13.8995
628.42,13.0947
628.52,12.4296
628.62,11.9668
628.72,11.7613
628.82,11.8615
628.92,12.1965
629.02,12.4833
629.12,12.4793
629.22,12.2998
629.32,12.2327
629.42,12.5088
629.52,13.029
629.62,13.4532
629.72,13.5711
629.82,13.4782
629.92,13.4991
630.02,13.9242
630.12,14.7745
630.22,15.6935
630.32,16.0778
630.42,15.5377
630.52,14.2961
630.62,12.9673
630.72,12.1479
630.82,12.0434
630.92,12.2912
631.02,12.3817
631.12,12.0673
631.22,11.391
631.32,10.6437
631.42,10.0442
631.52,9.678
631.62,9.50586
631.72,9.42057
631.82,9.43906
631.92,9.64827
632.02,10.0705
632.12,10.5792
632.22,10.8806
632.32,10.8527
632.42,10.5038
632.52,9.86672
632.62,9.08951
632.72,8.34184
632.82,7.84481
632.92,7.72626
633.02,8.05224
633.12,8.83888
633.22,9.85236
633.32,10.8306
633.42,11.596
633.52,12.0845
633.62,12.3438
633.72,12.2502
633.82,11.6725
633.92,10.572
634.02,9.25771
634.12,8.26456
634.22,7.96147
634.32,8.49432
634.42,9.66164
634.52,10.8649
634.62,11.5768
634.72,11.6328
634.82,11.2992
634.92,11.0377
635.02,11.2454
635.12,11.8579
635.22,12.4702
635.32,12.6728
635.42,12.273
635.52,11.2843
635.62,10.0404
635.72,8.97887
635.82,8.44235
635.92,8.58666
636.02,9.34642
636.12,10.3648
636.22,11.3948
636.32,12.3127
636.42,13.0239
636.52,13.5843
636.62,14.0811
636.72,14.526
636.82,15.003
636.92,15.4767
637.02,15.7797
637.12,15.7221
637.22,15.188
637.32,14.204
637.42,12.938
637.52,11.8151
637.62,11.2935
637.72,11.586
637.82,12.6415
637.92,14.1067
638.02,15.4564
638.12,16.2587
638.22,16.2902
638.32,15.5658
638.42,14.4169
638.52,13.3939
638.62,12.8872
638.72,13.0087
638.82,13.6765
638.92,14.5255
639.02,15.0701
639.12,15.1261
639.22,14.8333
639.32,14.4069
639.42,14.135
639.52,14.2396
639.62,14.7215
639.72,15.5812
639.82,16.6397
639.92,17.4649
640.02,17.6818
640.12,17.1801
640.22,16.1116
640.32,14.8808
640.42,13.9331
640.52,13.5342
640.62,13.5855
640.72,13.9012
640.82,14.2106
640.92,14.31
641.02,14.2059
641.12,13.9917
641.22,13.7937
641.32,13.7406
641.42,13.7466
641.52,13.6561
641.62,13.2652
641.72,12.503
641.82,11.4762
641.92,10.4519
642.02,9.80412
642.12,9.64659
642.22,9.8462
642.32,10.1575
642.42,10.371
642.52,10.5176
642.62,10.7066
642.72,10.9681
642.82,11.3391
642.92,11.8527
643.02,12.5049
643.12,13.1964
643.22,13.7448
643.32,13.8815
643.42,13.6016
643.52,13.1857
643.62,12.8699
643.72,12.7311
